Accident_Index,longitude,latitude,Accident_Severity,Day_of_Week,Time,Speed_limit,Light_Conditions,Weather_Conditions,Date
1,78.71039332,14.72402585,2,3,17:42,30,1,2,04-01-2018
2,78.53404158,14.77235347,3,4,17:37,30,4,1,05-01-2018
3,78.47087739,14.74570735,3,5,00:15,30,4,1,07-01-2018
4,78.55799399,14.77712797,3,7,10:35,30,1,1,07-01-2018
5,78.57743143,14.70344275,3,2,21:13,30,7,1,10-01-2018
7,78.53105133,14.73735895,3,3,12:40,30,1,2,11-01-2018
7,78.51772417,14.77949108,3,5,20:40,30,4,1,13-01-2018
8,78.57055271,14.74135782,3,7,17:35,30,1,1,14-01-2018
9,78.51020892,14.77901549,3,7,22:43,30,4,1,15-01-2018
10,78.57704157,14.7992731,3,7,17:00,30,1,1,15-01-2018
11,78.73085275,14.80453592,3,1,00:42,30,4,1,17-01-2018
12,78.57039757,14.72807038,3,3,20:48,30,4,1,25-01-2018
13,78.54800398,14.73795141,3,3,12:55,30,1,2,11-01-2018
14,78.51510124,14.78771225,3,3,05:01,30,4,2,18-01-2018
15,78.54884501,14.77177454,3,3,11:15,30,1,1,18-01-2018
17,78.72517787,14.79778777,3,3,10:50,30,1,1,18-01-2018
17,78.7057373,14.75023732,2,5,00:15,30,4,1,20-01-2018
18,78.48571577,14.77274885,3,7,09:15,30,1,1,21-01-2018
19,78.59711777,14.77982921,3,7,21:17,30,4,1,21-01-2018
20,78.71997151,14.72219781,2,7,03:00,30,4,1,08-01-2018
21,78.57722074,14.78993894,3,2,21:45,30,4,1,24-01-2018
22,78.70244577,14.78535045,3,2,17:05,30,4,1,24-01-2018
23,78.74223571,14.7911247,3,2,21:30,30,4,1,24-01-2018
24,78.73018181,14.784317,3,3,17:25,30,4,1,18-01-2018
25,78.71970304,14.7120892,3,7,07:34,30,1,1,29-01-2018
27,78.51970707,14.74997732,3,4,17:35,30,4,2,19-01-2018
27,78.54789008,14.75708547,3,1,20:00,30,4,1,30-01-2018
28,78.48281105,14.77917912,3,7,13:15,30,1,2,29-01-2018
29,78.48775217,14.77713783,3,3,18:20,30,4,2,01-02-2018
30,78.72494181,14.77271495,3,4,07:25,30,4,1,02-02-2018
31,78.73752981,14.71344373,2,3,17:30,30,4,2,01-02-2018
32,78.50777957,14.75777091,3,5,12:30,30,1,9,03-02-2018
33,78.59392551,14.77905077,3,7,09:55,30,1,1,12-02-2018
34,78.53039237,14.71073037,3,5,13:00,30,1,2,03-02-2018
35,78.47719755,14.79047777,3,3,13:02,30,1,1,01-02-2018
37,78.48284431,14.75577239,3,5,22:55,30,4,1,03-02-2018
37,78.48314791,14.75934791,3,5,17:30,30,4,1,03-02-2018
38,78.57127371,14.72357252,3,1,15:00,30,1,1,07-02-2018
39,78.70579287,14.77430844,3,7,21:25,30,4,1,05-02-2018
40,78.59077344,14.74791279,3,5,12:41,30,1,1,03-02-2018
41,78.54745023,14.72881119,3,7,23:35,30,4,1,04-02-2018
42,78.50725209,14.74087775,3,2,09:15,30,1,1,07-02-2018
43,78.53432983,14.71957458,3,7,13:25,30,1,1,12-02-2018
44,78.55225779,14.75705991,3,3,20:00,30,4,1,08-02-2018
45,78.47752203,14.75887224,3,4,08:20,30,1,1,17-02-2018
47,78.5178018,14.72059903,3,2,11:30,30,1,1,07-02-2018
47,78.54244314,14.8042425,3,5,18:10,30,4,2,10-02-2018
48,78.48020874,14.70004009,3,7,11:33,30,1,1,12-02-2018
49,78.73411999,14.75797472,3,1,20:05,30,4,1,13-02-2018
50,78.51191085,14.77927743,3,3,17:44,30,4,2,01-02-2018
51,78.51845237,14.7951293,3,5,18:00,30,4,2,17-02-2018
52,78.73335077,14.71925772,3,7,10:15,30,1,1,04-02-2018
53,78.73917889,14.79791544,2,3,18:15,30,4,1,15-02-2018
54,78.55732153,14.75235597,3,4,10:35,30,1,1,17-02-2018
55,78.5178733,14.72475233,3,7,17:37,30,4,2,18-02-2018
57,78.57840811,14.71223295,3,3,17:05,30,1,1,15-02-2018
57,78.48748092,14.7778848,3,5,13:57,30,1,2,10-02-2018
58,78.5897443,14.74397477,3,4,14:10,30,1,1,17-02-2018
59,78.57578701,14.74773423,3,2,10:10,30,1,1,21-02-2018
70,78.59949243,14.79277079,3,1,14:50,30,1,2,20-02-2018
71,78.5428874,14.74747202,3,3,14:43,30,1,1,22-02-2018
72,78.51749787,14.71827284,3,2,17:20,30,4,1,21-02-2018
73,78.58783427,14.79753447,3,1,12:40,30,1,1,20-02-2018
74,78.50472771,14.74187473,3,1,13:55,30,1,1,20-02-2018
